# Time 8,KK,Kpp,PP,K,Kp,K_KK,Kp_KK,Kpp_PP,Kp_PP,KKa,PPa
0.0000000000,346,0,254,1201,0,0,0,0,0,0,0
0.5000001486,288,21,254,1122,0,53,5,0,0,0,0
1.0000002973,258,65,250,1036,8,75,13,4,0,0,0
1.5000004459,255,131,251,960,16,80,11,2,1,0,0
2.0000005946,248,177,243,897,18,87,11,11,0,0,0
2.5000007432,239,222,231,825,24,98,9,17,6,0,0
3.0000008919,253,270,234,791,27,87,6,18,2,0,0
3.5000010405,259,303,231,757,31,79,8,21,2,0,0
4.0000011892,266,339,226,723,31,70,10,24,4,0,0
4.5000013377,269,372,224,691,31,71,6,29,1,0,0
5.0000014865,272,389,217,662,39,66,8,36,1,0,0
5.5000016351,267,416,215,630,37,68,11,34,5,0,0
6.0000017833,273,443,213,610,34,68,5,38,3,0,0
6.5000019324,274,463,214,595,31,63,9,39,1,0,0
7.0000020810,272,478,208,573,30,64,10,39,7,0,0
7.5000022289,276,491,213,571,28,67,3,40,1,0,0
8.0000023783,281,519,211,543,31,60,5,37,6,0,0
8.5000025269,285,534,209,522,39,55,6,42,3,0,0
9.0000026749,294,544,209,515,45,46,6,40,5,0,0
9.5000028240,293,540,206,514,46,48,5,40,8,0,0
10.0000029725,292,553,213,512,41,50,4,39,2,0,0
10.5000031210,297,553,207,515,37,44,5,41,6,0,0
11.0000032696,289,553,212,509,40,54,3,35,7,0,0
11.5000034181,282,549,204,499,39,58,6,47,3,0,0
12.0000035667,292,566,216,502,41,49,5,34,4,0,0
12.5000037152,293,574,212,493,39,48,5,35,7,0,0
13.0000038637,294,579,212,489,39,49,3,38,4,0,0
13.5000040123,291,571,203,484,40,52,3,43,8,0,0
14.0000041608,281,583,209,468,40,61,4,41,4,0,0
14.5000043094,281,596,207,457,36,58,7,44,3,0,0
15.0000044579,285,599,202,450,39,56,5,45,7,0,0
15.5000046065,296,605,208,465,35,46,4,44,2,0,0
16.0000047550,289,602,192,444,36,52,5,54,8,0,0
16.5000049037,299,609,197,453,35,43,4,54,3,0,0
17.0000050525,295,606,200,449,41,48,3,52,2,0,0
17.5000052013,289,607,207,443,47,53,4,37,10,0,0
18.0000053500,290,608,209,444,48,50,6,42,3,0,0
18.5000054988,303,633,214,447,38,40,3,34,6,0,0
19.0000056475,305,640,211,438,39,36,5,34,9,0,0
19.5000057963,300,632,204,430,43,44,2,42,8,0,0
20.0000059450,292,629,207,435,36,49,5,44,3,0,0
20.5000060938,298,627,200,436,36,45,3,50,4,0,0
21.0000062425,302,638,206,431,40,39,5,41,7,0,0
21.5000063913,301,623,203,451,31,40,5,45,6,0,0
22.0000065400,296,623,209,451,32,48,2,39,6,0,0
22.5000066888,292,620,207,453,27,49,5,44,3,0,0
23.0000068375,299,621,198,447,30,42,5,51,5,0,0
23.5000069863,301,617,196,446,35,41,4,53,5,0,0
24.0000071350,291,613,198,437,40,49,6,54,2,0,0
24.5000072838,280,613,193,427,34,58,8,54,7,0,0
25.0000074326,303,638,205,435,36,38,5,42,7,0,0
25.5000075813,294,634,204,431,34,44,8,49,1,0,0
26.0000077301,296,633,207,433,38,43,7,43,4,0,0
26.5000078788,292,612,194,437,38,51,3,56,4,0,0
27.0000080276,299,619,199,437,43,42,5,48,7,0,0
27.5000081763,291,615,190,425,42,54,1,62,2,0,0
28.0000083251,289,602,194,445,37,50,7,59,1,0,0
28.5000084738,294,590,200,464,41,46,6,49,5,0,0
29.0000086226,294,591,196,460,40,50,2,49,9,0,0
29.5000087713,292,587,195,464,37,50,4,56,3,0,0
30.0000089201,293,584,197,467,40,44,9,55,2,0,0
30.5000090688,302,604,203,469,33,38,6,46,5,0,0
31.0000092176,289,596,207,465,36,56,1,46,1,0,0
31.5000093663,286,589,203,464,37,56,4,48,3,0,0
32.0000095151,283,610,210,448,36,55,8,38,6,0,0
32.5000096638,293,611,200,445,38,49,4,50,4,0,0
33.0000098126,290,625,203,428,41,48,8,47,4,0,0
33.5000099614,300,625,189,422,43,44,2,62,3,0,0
34.0000101101,284,618,200,423,44,53,9,51,3,0,0
34.5000102589,296,635,203,419,46,45,5,46,5,0,0
35.0000104076,291,642,210,418,42,50,5,41,3,0,0
35.5000105564,290,633,200,413,45,50,6,51,3,0,0
36.0000107051,292,632,196,413,44,49,5,55,3,0,0
36.5000108539,298,635,200,418,46,43,5,49,5,0,0
37.0000110026,299,642,200,420,38,43,4,50,4,0,0
37.5000111514,298,637,198,424,36,46,2,50,6,0,0
38.0000113001,291,624,197,425,40,50,5,49,8,0,0
38.5000114489,291,607,197,447,35,49,6,51,6,0,0
39.0000115976,294,612,209,455,37,47,5,40,5,0,0
39.5000117464,296,613,210,458,36,41,9,40,4,0,0
40.0000118951,295,613,209,454,38,46,5,43,2,0,0
40.5000120439,298,611,201,452,37,41,7,50,3,0,0
41.0000121927,291,617,199,438,36,50,5,48,7,0,0
41.5000123414,288,633,219,440,35,54,4,31,4,0,0
42.0000124902,294,636,206,439,26,48,4,45,3,0,0
42.5000126389,287,639,204,420,33,55,4,47,3,0,0
43.0000127877,303,647,200,422,35,37,6,48,6,0,0
43.5000129364,303,640,196,424,36,38,5,53,5,0,0
44.0000130852,293,630,190,417,37,49,4,52,12,0,0
44.5000132339,288,635,195,417,32,55,3,51,8,0,0
45.0000133827,287,644,200,413,31,53,6,53,1,0,0
45.5000135314,300,657,200,413,31,42,4,47,7,0,0
46.0000136802,299,640,195,422,33,43,4,52,7,0,0
46.5000138289,282,632,202,421,32,62,2,49,3,0,0
47.0000139777,285,642,205,412,37,58,3,43,6,0,0
47.5000141264,294,642,199,416,36,47,5,54,1,0,0
48.0000142752,288,635,191,410,35,53,5,54,9,0,0
48.5000144239,294,631,185,413,36,45,7,64,5,0,0
49.0000145727,300,620,190,434,37,39,7,60,4,0,0
49.5000147215,297,623,203,439,39,47,2,47,4,0,0
50.0000148702,286,620,206,433,40,53,7,44,4,0,0
50.5000150190,300,617,202,444,42,44,2,48,4,0,0
51.0000151677,294,613,203,447,38,46,6,50,1,0,0
51.5000153165,300,615,196,444,38,39,7,56,2,0,0
52.0000154652,296,620,197,435,39,47,3,49,8,0,0
52.5000156140,296,612,198,445,38,47,3,54,2,0,0
53.0000157627,286,616,207,435,43,56,4,41,6,0,0
53.5000159115,281,617,205,428,42,51,14,45,4,0,0
54.0000160602,304,630,204,433,46,38,4,45,5,0,0
54.5000162090,283,621,199,421,41,50,13,50,5,0,0
55.0000163577,295,627,200,425,44,47,4,48,6,0,0
55.5000165065,291,626,196,418,44,49,6,54,4,0,0
56.0000166552,296,631,206,429,43,44,6,45,3,0,0
56.5000168040,298,629,201,429,42,42,6,50,3,0,0
57.0000169527,292,634,212,435,36,51,3,39,3,0,0
57.5000171015,301,618,201,445,40,44,1,49,4,0,0
58.0000172503,279,604,200,439,37,58,9,48,6,0,0
58.5000173990,287,622,203,425,44,50,9,47,4,0,0
59.0000175478,300,640,209,431,39,40,6,40,5,0,0
59.5000176965,309,637,202,438,37,33,4,51,1,0,0
60.0000178453,295,631,206,434,37,47,4,46,2,0,0
60.5000179940,284,621,194,419,39,57,5,57,3,0,0
61.0000181428,295,625,192,418,45,46,5,57,5,0,0
61.5000182915,302,640,206,426,43,42,2,41,7,0,0
62.0000184403,302,630,202,440,35,36,8,48,4,0,0
62.5000185890,304,632,193,437,29,36,6,57,4,0,0
63.0000187378,299,629,202,444,29,44,3,48,4,0,0
63.5000188865,291,630,194,425,31,50,5,56,4,0,0
64.0000190353,300,623,189,435,32,42,4,63,2,0,0
64.5000191840,301,642,205,434,31,42,3,45,4,0,0
65.0000193328,286,633,206,428,32,59,1,44,4,0,0
65.5000194816,286,631,206,428,34,55,5,46,2,0,0
66.0000196257,286,631,213,432,37,56,4,37,4,0,0
66.5000197791,292,641,213,427,38,47,7,37,4,0,0
67.0000199278,284,637,203,410,41,58,4,48,3,0,0
67.5000200667,290,629,192,417,37,51,5,57,5,0,0
68.0000202253,282,614,186,420,35,62,2,63,5,0,0
68.5000203741,298,632,201,430,38,39,9,45,8,0,0
69.0000205077,292,627,201,426,41,47,7,49,4,0,0
69.5000206716,291,617,195,433,37,51,4,54,5,0,0
70.0000208203,296,624,206,444,35,45,5,43,5,0,0
70.5000209487,286,618,196,437,28,56,4,55,3,0,0
71.0000211178,289,616,204,445,33,51,6,47,3,0,0
71.5000212666,287,610,194,438,34,56,3,56,4,0,0
72.0000213897,295,616,207,449,38,47,4,44,3,0,0
72.5000215641,286,611,199,433,42,51,9,47,8,0,0
73.0000217128,293,616,196,433,41,48,5,51,7,0,0
73.5000218307,295,613,205,446,42,44,7,43,6,0,0
74.0000220104,293,629,219,440,44,47,6,32,3,0,0
74.5000221591,299,634,204,429,41,43,4,50,0,0,0
75.0000222717,301,636,195,418,43,42,3,51,8,0,0
75.5000224566,306,636,197,425,43,38,2,51,6,0,0
76.0000226054,303,633,201,423,49,41,2,45,8,0,0
76.5000227127,297,628,201,431,40,48,1,49,4,0,0
77.0000229029,295,631,193,423,35,44,7,54,7,0,0
77.5000230516,297,646,195,414,33,44,5,56,3,0,0
78.0000231537,303,644,198,421,37,38,5,47,9,0,0
78.5000233491,291,639,201,416,38,52,3,49,4,0,0
79.0000234979,294,634,198,420,39,49,3,55,1,0,0
79.5000235946,295,635,201,418,44,45,6,49,4,0,0
80.0000237954,290,645,198,403,41,56,0,47,9,0,0
80.5000239441,287,657,206,399,38,54,5,43,5,0,0
81.0000240356,298,655,197,408,33,46,2,51,6,0,0
81.5000242417,303,645,197,426,30,41,2,54,3,0,0
82.0000243904,296,634,194,429,28,43,7,55,5,0,0
82.5000244766,297,653,207,417,35,44,5,44,3,0,0
83.0000246879,297,646,199,412,39,46,3,50,5,0,0
83.5000248367,297,638,204,426,38,43,6,45,5,0,0
84.0000249176,294,639,208,424,40,45,7,41,5,0,0
84.5000251342,305,638,198,425,41,39,2,50,6,0,0
85.0000252829,299,635,198,421,42,41,6,51,5,0,0
85.5000253586,299,643,205,422,40,44,3,43,6,0,0
86.0000255804,301,651,211,428,34,42,3,42,1,0,0
86.5000257292,296,638,204,425,38,48,2,43,7,0,0
87.0000257996,294,640,204,423,36,49,3,44,6,0,0
87.5000260267,304,648,209,432,34,41,1,42,3,0,0
88.0000261754,304,638,194,425,36,36,6,54,6,0,0
88.5000262406,301,622,176,424,32,40,5,69,9,0,0
89.0000264729,305,627,194,440,33,36,5,52,8,0,0
89.5000266217,292,615,196,441,33,51,3,52,6,0,0
90.0000266816,287,611,194,442,29,55,4,52,8,0,0
90.5000269192,297,616,201,453,30,49,0,49,4,0,0
91.0000270680,285,612,200,445,29,60,1,50,4,0,0
91.5000271226,291,615,203,448,32,53,2,50,1,0,0
92.0000273655,282,611,210,449,33,60,4,41,3,0,0
92.5000275142,292,624,217,447,39,51,3,36,1,0,0
93.0000275636,285,634,216,430,38,55,6,36,2,0,0
93.5000278117,284,623,207,434,35,56,6,41,6,0,0
94.0000279605,295,627,208,438,39,49,2,42,4,0,0
94.5000280045,300,640,204,421,44,43,3,47,3,0,0
95.0000282580,294,638,207,423,41,44,8,41,6,0,0
95.5000284067,298,640,204,424,39,45,3,45,5,0,0
96.0000284455,296,639,205,427,36,42,8,44,5,0,0
96.5000287042,294,643,203,416,39,46,6,48,3,0,0
97.0000288530,289,631,194,419,34,50,7,56,4,0,0
97.5000288865,301,649,204,424,33,42,3,44,6,0,0
98.0000291505,300,646,201,428,28,42,4,47,6,0,0
98.5000292993,293,637,195,422,30,47,6,53,6,0,0
99.0000293275,287,646,206,417,31,57,2,44,4,0,0
99.5000295968,298,651,199,408,39,42,6,49,6,0,0
100.0000297455,293,653,199,400,40,50,3,52,3,0,0
100.5000297685,300,650,186,395,42,41,5,65,3,0,0
101.0000300430,290,655,199,395,40,51,5,51,4,0,0
101.5000301918,299,662,199,394,43,45,2,48,7,0,0
102.0000302095,301,653,196,400,45,42,3,54,4,0,0
102.5000304893,303,653,199,413,37,38,5,53,2,0,0
103.0000306380,299,641,192,417,34,41,6,52,10,0,0
103.5000306505,292,633,207,428,39,50,4,40,7,0,0
104.0000309355,294,633,200,428,34,45,7,46,8,0,0
104.5000310843,299,636,213,442,35,44,3,38,3,0,0
105.0000310915,291,631,208,432,37,46,9,41,5,0,0
105.5000313818,296,642,203,423,35,46,4,42,9,0,0
106.0000315306,286,629,196,419,35,51,9,54,4,0,0
106.5000315325,298,632,196,426,37,45,3,56,2,0,0
107.0000318281,280,617,186,411,39,62,4,60,8,0,0
107.5000319768,293,630,205,429,40,46,7,46,3,0,0
108.0000321256,297,627,200,430,41,46,3,52,2,0,0
108.5000322743,294,622,196,428,41,47,5,56,2,0,0
109.0000324231,301,614,188,437,39,42,3,63,3,0,0
109.5000325718,299,620,192,434,38,41,6,54,8,0,0
110.0000327206,300,613,202,456,34,38,8,49,3,0,0
110.5000328693,298,611,194,449,33,45,3,55,5,0,0
111.0000330181,289,611,205,447,37,50,7,43,6,0,0
111.5000331668,293,605,200,451,38,50,3,49,5,0,0
112.0000333156,286,608,204,449,34,56,4,47,3,0,0
112.5000334643,287,597,199,453,37,52,7,50,5,0,0
113.0000336131,277,603,204,439,40,60,9,46,4,0,0
113.5000337618,289,625,203,430,38,54,3,42,9,0,0
114.0000339106,284,626,200,426,33,54,8,48,6,0,0
114.5000340594,281,625,195,416,36,59,6,53,6,0,0
115.0000342081,288,626,201,427,37,56,2,49,4,0,0
115.5000343569,293,618,195,431,40,48,5,53,6,0,0
116.0000345056,297,618,199,435,44,44,5,47,8,0,0
116.5000346544,296,616,201,443,39,45,5,48,5,0,0
117.0000348031,300,617,198,445,37,43,3,49,7,0,0
117.5000349519,305,619,206,448,45,39,2,45,3,0,0
118.0000351006,306,608,203,460,42,36,4,49,2,0,0
118.5000352494,295,593,197,462,38,46,5,54,3,0,0
119.0000353981,294,590,199,462,42,49,3,51,4,0,0
119.5000355469,278,591,195,438,45,62,6,52,7,0,0
120.0000356956,288,607,204,439,47,52,6,47,3,0,0
120.5000358444,292,599,200,450,44,48,6,49,5,0,0
121.0000359931,298,616,204,449,38,44,4,47,3,0,0
121.5000361419,303,616,208,456,40,39,4,44,2,0,0
122.0000362907,287,619,216,443,42,52,7,36,2,0,0
122.5000364394,287,634,214,427,41,53,6,38,2,0,0
123.0000365882,278,626,198,409,42,62,6,47,9,0,0
123.5000367369,279,625,201,416,40,57,10,48,5,0,0
124.0000368857,285,619,200,426,41,55,6,50,4,0,0
124.5000370344,295,628,201,430,39,47,4,47,6,0,0
125.0000371832,294,630,197,429,33,45,7,53,4,0,0
125.5000373319,293,620,198,440,32,46,7,52,4,0,0
126.0000374807,294,610,193,447,31,40,12,58,3,0,0
126.5000376294,304,609,195,458,33,38,4,53,6,0,0
127.0000377782,287,602,191,443,34,49,10,57,6,0,0
127.5000379269,296,618,206,445,40,46,4,42,6,0,0
128.0000380757,292,614,202,443,38,49,5,50,2,0,0
128.5000382244,299,616,193,440,37,44,3,54,7,0,0
129.0000383732,295,616,203,446,37,47,4,44,7,0,0
129.5000385219,286,605,199,440,41,53,7,52,3,0,0
130.0000386707,283,604,197,433,44,57,6,49,8,0,0
130.5000388195,297,614,202,442,44,47,2,50,2,0,0
131.0000389682,291,609,199,439,43,51,4,50,5,0,0
131.5000391170,299,633,209,438,38,42,5,40,5,0,0
132.0000392657,290,631,206,434,32,48,8,42,6,0,0
132.5000394145,297,633,203,435,33,44,5,49,2,0,0
133.0000395632,294,627,185,423,30,44,8,61,8,0,0
133.5000397120,288,638,203,421,33,51,7,45,6,0,0
134.0000398607,306,632,190,433,32,37,3,59,5,0,0
134.5000400095,281,620,196,426,32,55,10,53,5,0,0
135.0000401582,291,624,198,433,33,46,9,51,5,0,0
135.5000403070,289,633,206,434,29,51,6,40,8,0,0
136.0000404557,291,634,206,432,32,50,5,46,2,0,0
136.5000406045,291,630,208,436,34,48,7,44,2,0,0
137.0000407532,290,639,206,425,33,52,4,43,5,0,0
137.5000409020,298,634,188,414,39,47,1,60,6,0,0
138.0000410508,297,637,211,435,37,44,5,43,0,0,0
138.5000411995,300,637,202,433,33,42,4,50,2,0,0
139.0000413483,300,624,197,440,34,38,8,52,5,0,0
139.5000414970,290,618,202,440,35,50,6,46,6,0,0
140.0000416458,294,631,209,434,39,48,4,43,2,0,0
140.5000417945,293,626,195,428,35,51,2,54,5,0,0
141.0000419433,283,629,208,428,35,62,1,43,3,0,0
141.5000420920,287,632,216,434,38,55,4,36,2,0,0
142.0000422408,289,630,204,428,36,50,7,48,2,0,0
142.5000423895,290,635,207,428,35,52,4,44,3,0,0
143.0000425383,290,647,201,408,37,53,3,48,5,0,0
143.5000426870,294,649,196,402,40,49,3,49,9,0,0
144.0000428358,308,667,210,414,38,31,7,40,4,0,0
144.5000429845,301,668,212,406,40,40,5,36,6,0,0
145.0000431333,300,674,215,397,45,44,2,34,5,0,0
145.5000432820,303,679,205,390,40,39,4,44,5,0,0
146.0000434308,304,666,203,401,41,37,5,50,1,0,0
146.5000435796,292,664,208,398,39,49,5,42,4,0,0
147.0000437283,293,652,201,405,38,49,4,48,5,0,0
147.5000438771,291,655,206,403,40,53,2,45,3,0,0
148.0000440258,294,666,206,397,38,45,7,44,4,0,0
148.5000441746,296,660,198,399,36,46,4,51,5,0,0
149.0000443233,290,658,193,390,36,52,4,53,8,0,0
149.5000444721,299,646,197,416,35,44,3,52,5,0,0
150.0000446208,290,651,209,416,33,47,9,44,1,0,0
150.5000447696,288,667,215,404,33,56,2,35,4,0,0
151.0000449183,301,681,209,391,39,45,0,43,2,0,0
151.5000450671,289,674,206,380,42,52,5,44,4,0,0
152.0000452158,284,679,211,374,43,55,7,38,5,0,0
152.5000453646,297,685,209,381,41,43,6,38,7,0,0
153.0000455133,297,683,212,387,40,45,4,37,5,0,0
153.5000456621,299,667,193,390,36,39,8,56,5,0,0
154.0000458108,307,656,187,401,38,37,2,61,6,0,0
154.5000459596,301,657,202,406,41,41,4,50,2,0,0
155.0000461084,297,653,201,405,41,46,3,49,4,0,0
155.5000462571,297,640,197,412,43,45,4,54,3,0,0
156.0000464059,292,635,198,417,39,48,6,47,9,0,0
156.5000465546,296,629,198,427,39,47,3,50,6,0,0
157.0000467034,288,626,202,426,39,52,6,46,6,0,0
157.5000468521,288,619,201,432,39,50,8,50,3,0,0
158.0000470009,294,625,203,430,43,43,9,47,4,0,0
158.5000471496,298,630,208,431,46,43,5,40,6,0,0
159.0000472984,294,637,207,420,45,47,5,44,3,0,0
159.5000474471,295,621,196,423,48,46,5,52,6,0,0
160.0000475959,293,616,204,437,45,48,5,48,2,0,0
160.5000477446,291,616,204,436,44,49,6,45,5,0,0
161.0000478934,301,621,210,440,51,39,6,41,3,0,0
161.5000480421,286,636,208,413,46,54,6,45,1,0,0
162.0000481909,277,633,212,415,42,57,12,37,5,0,0
162.5000483397,287,636,207,421,38,55,4,43,4,0,0
163.0000484884,289,629,195,415,41,52,5,54,5,0,0
163.5000486372,298,635,200,419,45,42,6,49,5,0,0
164.0000487859,299,626,196,429,41,45,2,54,4,0,0
164.5000489347,293,627,202,428,41,48,5,43,9,0,0
165.0000490834,288,618,203,430,44,51,7,46,5,0,0
165.5000492322,293,614,201,438,43,53,0,48,5,0,0
166.0000493809,289,599,199,443,47,55,2,52,3,0,0
166.5000495297,283,599,198,433,50,58,5,45,11,0,0
167.0000496784,286,606,206,441,46,56,4,44,4,0,0
167.5000498272,282,616,201,426,42,53,11,49,4,0,0
168.0000499759,296,631,202,431,37,47,3,48,4,0,0
168.5000501247,295,637,207,431,35,45,6,42,5,0,0
169.0000502734,294,627,192,424,36,45,7,56,6,0,0
169.5000504222,301,626,195,437,34,41,4,56,3,0,0
170.0000505709,307,615,193,450,36,33,6,57,4,0,0
170.5000507197,303,611,202,459,36,35,8,49,3,0,0
171.0000508685,314,609,196,464,38,31,1,52,6,0,0
171.5000510172,298,596,202,464,41,44,4,50,2,0,0
172.0000511660,291,605,203,450,40,52,3,48,3,0,0
172.5000513147,287,604,195,434,45,53,6,53,6,0,0
173.0000514635,292,616,212,444,45,47,7,36,6,0,0
173.5000516122,300,628,209,442,40,44,2,42,3,0,0
174.0000517610,289,614,199,431,44,50,7,52,3,0,0
174.5000519097,294,615,194,429,45,48,4,53,7,0,0
175.0000520585,299,606,199,451,42,42,5,52,3,0,0
