# Time 8,KK,Kpp,PP,K,Kp,K_KK,Kp_KK,Kpp_PP,Kp_PP,KKa,PPa
0.0000000000,431,0,169,1201,0,0,0,0,0,0,0
0.5000001486,340,28,168,1079,2,78,13,1,0,0,0
1.0000002973,303,91,165,972,6,110,18,4,0,0,0
1.5000004459,328,184,162,896,11,94,9,7,0,0,0
2.0000005946,331,248,159,824,19,91,9,9,1,0,0
2.5000007432,334,318,158,756,19,93,4,10,1,0,0
3.0000008919,320,364,152,688,21,97,14,15,2,0,0
3.5000010405,340,430,147,636,22,82,9,18,4,0,0
4.0000011892,350,470,140,596,25,75,6,29,0,0,0
4.5000013377,363,508,143,569,30,59,9,23,3,0,0
5.0000014865,353,522,136,536,32,71,7,30,3,0,0
5.5000016351,360,558,135,504,34,68,3,32,2,0,0
6.0000017833,355,592,135,465,34,71,5,30,4,0,0
6.5000018013,365,617,135,447,37,54,12,31,3,0,0
7.0000020810,361,644,128,412,34,60,10,36,5,0,0
7.5000022289,361,656,133,403,36,62,8,32,4,0,0
8.0000023783,369,687,132,386,29,58,4,34,3,0,0
8.5000025269,368,716,141,370,24,56,7,26,2,0,0
9.0000026749,373,740,140,349,25,53,5,26,3,0,0
9.5000028240,370,746,139,341,23,55,6,30,0,0,0
10.0000029725,372,757,132,324,24,51,8,31,6,0,0
10.5000031210,380,769,130,315,27,47,4,32,7,0,0
11.0000032696,386,774,122,308,27,42,3,43,4,0,0
11.5000034181,391,783,127,312,24,37,3,39,3,0,0
12.0000035667,397,789,126,308,27,29,5,38,5,0,0
12.5000037152,386,797,128,294,24,41,4,37,4,0,0
13.0000038637,389,796,128,295,27,40,2,38,3,0,0
13.5000040123,381,802,130,280,30,44,6,37,2,0,0
14.0000041608,396,807,135,294,31,33,2,32,2,0,0
14.5000043094,389,816,129,273,30,41,1,37,3,0,0
15.0000044579,380,814,129,264,32,48,3,38,2,0,0
15.5000046065,391,816,127,269,34,33,7,39,3,0,0
16.0000047550,392,817,122,262,36,35,4,44,3,0,0
16.5000049037,392,820,119,266,26,31,8,44,6,0,0
17.0000050525,396,820,122,274,25,33,2,40,7,0,0
17.5000052013,393,823,125,270,26,32,6,40,4,0,0
18.0000053500,390,821,125,268,27,38,3,39,5,0,0
18.5000054988,400,825,126,279,23,26,5,37,6,0,0
19.0000056475,392,812,121,279,23,36,3,45,3,0,0
19.5000057963,388,825,134,275,23,40,3,34,1,0,0
20.0000059450,388,827,134,273,23,37,6,32,3,0,0
20.5000060938,393,823,127,275,23,37,1,40,2,0,0
21.0000062425,391,814,127,280,25,37,3,40,2,0,0
21.5000063913,390,811,132,285,27,38,3,32,5,0,0
22.0000065400,380,794,125,283,29,48,3,41,3,0,0
22.5000066888,388,803,126,281,31,40,3,41,2,0,0
23.0000068375,384,806,127,277,29,42,5,37,5,0,0
23.5000069863,394,807,124,284,28,31,6,43,2,0,0
24.0000071350,386,809,122,273,27,40,5,44,3,0,0
24.5000072838,380,815,125,263,28,44,7,39,5,0,0
25.0000074326,379,816,129,268,25,46,6,37,3,0,0
25.5000075813,384,824,130,266,25,45,2,36,3,0,0
26.0000077301,385,833,129,259,23,41,5,37,3,0,0
26.5000078788,395,829,127,271,23,33,3,39,3,0,0
27.0000080276,392,826,125,265,27,36,3,43,1,0,0
27.5000081763,390,824,130,266,31,38,3,36,3,0,0
28.0000083251,388,824,126,259,32,43,0,39,4,0,0
28.5000084738,399,819,130,280,31,31,1,36,3,0,0
29.0000086226,385,816,126,263,33,42,4,40,3,0,0
29.5000087713,393,830,128,257,35,35,3,40,1,0,0
30.0000089201,394,825,127,265,32,31,6,37,5,0,0
30.5000090688,394,839,138,265,29,34,3,26,5,0,0
31.0000092176,385,821,129,266,28,39,7,36,4,0,0
31.5000093663,394,837,138,270,26,34,3,30,1,0,0
32.0000095151,386,836,128,258,21,41,4,39,2,0,0
32.5000096638,381,834,125,248,25,47,3,40,4,0,0
33.0000098126,377,822,122,250,28,51,3,45,2,0,0
33.5000099614,389,832,121,249,30,38,4,43,5,0,0
34.0000101101,394,836,130,259,30,34,3,37,2,0,0
34.5000102589,388,827,126,258,30,41,2,38,5,0,0
35.0000104076,396,823,123,264,33,31,4,39,7,0,0
35.5000105564,398,821,123,266,35,30,3,42,4,0,0
36.0000107051,382,811,124,264,32,46,3,39,6,0,0
36.5000108539,387,811,121,263,35,39,5,40,8,0,0
37.0000110026,391,822,124,263,31,38,2,40,5,0,0
37.5000111514,388,827,131,262,31,39,4,35,3,0,0
38.0000113001,391,840,131,256,27,39,1,37,1,0,0
38.5000114489,381,844,137,247,28,43,7,26,6,0,0
39.0000115976,389,844,133,252,27,40,2,32,4,0,0
39.5000117464,394,838,128,255,30,32,5,38,3,0,0
40.0000118951,398,831,126,265,29,30,3,40,3,0,0
40.5000120439,388,822,122,262,27,42,1,44,3,0,0
41.0000121927,396,833,131,267,28,35,0,34,4,0,0
41.5000123414,389,820,127,269,28,40,2,38,4,0,0
42.0000124902,376,819,130,258,30,46,9,36,3,0,0
42.5000126389,380,834,129,248,28,39,12,36,4,0,0
43.0000127877,393,839,121,250,26,35,3,43,5,0,0
43.5000129364,397,823,120,264,31,34,0,46,3,0,0
44.0000130852,390,816,121,263,33,34,7,44,4,0,0
44.5000132339,389,815,125,267,33,38,4,39,5,0,0
