# Time 8,KK,Kpp,PP,K,Kp,K_KK,Kp_KK,Kpp_PP,Kp_PP,KKa,PPa
0.0000000000,18,0,582,1201,0,0,0,0,0,0,0
0.5000001486,15,0,582,1198,0,3,0,0,0,0,0
1.0000002973,15,6,582,1192,0,2,1,0,0,0,0
1.5000004459,14,8,582,1189,0,4,0,0,0,0,0
2.0000005946,12,10,580,1183,0,6,0,1,1,0,0
2.5000007432,13,13,580,1181,0,4,1,2,0,0,0
3.0000008919,10,11,577,1177,0,7,1,3,2,0,0
3.5000010405,11,15,580,1177,0,7,0,2,0,0,0
4.0000011892,8,16,580,1173,0,10,0,2,0,0,0
4.5000013377,13,21,581,1174,0,5,0,1,0,0,0
5.0000014865,11,21,580,1170,1,7,0,2,0,0,0
5.5000016351,10,21,579,1167,2,7,1,3,0,0,0
6.0000017833,13,21,578,1169,2,5,0,4,0,0,0
6.5000019324,10,19,576,1166,2,8,0,5,1,0,0
7.0000020810,13,20,578,1169,3,4,1,3,1,0,0
7.5000022289,15,25,578,1168,1,3,0,4,0,0,0
8.0000023783,11,23,578,1166,1,7,0,4,0,0,0
8.5000025269,12,25,580,1167,1,5,1,2,0,0,0
9.0000026749,14,25,579,1168,1,4,0,2,1,0,0
9.5000028240,13,23,576,1165,2,4,1,4,2,0,0
10.0000029725,15,24,578,1169,1,3,0,4,0,0,0
10.5000031210,14,26,581,1169,1,4,0,1,0,0,0
11.0000032696,11,27,581,1164,2,7,0,1,0,0,0
11.5000034181,10,24,578,1163,2,7,1,4,0,0,0
12.0000035667,5,23,576,1157,2,13,0,5,1,0,0
12.5000037152,12,23,575,1163,2,6,0,6,1,0,0
13.0000038637,12,23,577,1164,3,5,1,3,2,0,0
13.5000040123,13,25,580,1168,1,5,0,2,0,0,0
14.0000041608,12,24,580,1167,2,6,0,2,0,0,0
14.5000043094,12,23,578,1166,2,6,0,4,0,0,0
15.0000044579,15,28,580,1166,2,3,0,2,0,0,0
15.5000046065,15,23,575,1166,2,3,0,6,1,0,0
16.0000047550,14,22,578,1169,2,3,1,4,0,0,0
16.5000049037,12,22,573,1162,2,6,0,9,0,0,0
17.0000050525,14,17,574,1168,4,4,0,8,0,0,0
17.5000052013,15,18,575,1168,5,3,0,6,1,0,0
18.0000053500,14,21,577,1165,6,4,0,5,0,0,0
18.5000054988,12,19,576,1163,7,6,0,5,1,0,0
19.0000056475,9,16,576,1163,7,9,0,6,0,0,0
19.5000057963,11,20,574,1160,6,6,1,8,0,0,0
20.0000059450,11,20,577,1163,6,6,1,4,1,0,0
20.5000060938,17,21,575,1166,6,1,0,6,1,0,0
21.0000062425,12,21,576,1162,6,5,1,4,2,0,0
21.5000063913,16,23,580,1169,5,2,0,2,0,0,0
22.0000065400,15,16,576,1171,5,3,0,4,2,0,0
22.5000066888,10,15,577,1167,6,6,2,4,1,0,0
23.0000068375,13,19,579,1169,5,5,0,1,2,0,0
23.5000069863,10,18,576,1166,3,8,0,5,1,0,0
24.0000071350,13,22,577,1165,4,5,0,5,0,0,0
24.5000072838,15,23,577,1165,5,3,0,5,0,0,0
25.0000074326,15,24,579,1167,4,3,0,2,1,0,0
25.5000075813,12,19,574,1164,4,6,0,7,1,0,0
26.0000077301,13,20,578,1167,5,5,0,4,0,0,0
26.5000078788,11,19,576,1164,5,7,0,6,0,0,0
27.0000080276,12,16,575,1167,5,3,3,6,1,0,0
27.5000081763,14,19,577,1169,4,4,0,3,2,0,0
28.0000083251,11,21,580,1169,2,7,0,1,1,0,0
28.5000084738,11,21,580,1170,1,6,1,2,0,0,0
29.0000086226,14,21,577,1169,2,4,0,5,0,0,0
29.5000087713,13,19,575,1169,1,4,1,5,2,0,0
