D,ratio,elapsed_time
0.06,0.03162277660168379,2938.62
0.06,0.05925530975545678,2965.64
0.06,0.11103363181676379,2961.11
0.06,0.20805675382171704,2943.71
0.06,0.38986037025490716,2907.89
0.06,0.7305271542664452,2886.61
0.06,1.3688745095370807,2907.87
0.06,2.5650209056800444,2910.26
0.06,4.806380863064389,2942.59
0.06,9.006280202112777,2961.41
0.06,16.87612475788147,2979.61
0.06,31.622776601683793,2984.95
0.06,1.0,2892.76
4.0,0.03162277660168379,5881.47
4.0,0.05925530975545678,5849.4
4.0,0.11103363181676379,5910.26
4.0,0.20805675382171704,5871.36
4.0,0.38986037025490716,5719.71
4.0,0.7305271542664452,5624.13
4.0,1.3688745095370807,5607.35
4.0,2.5650209056800444,5670.91
4.0,4.806380863064389,5760.22
4.0,9.006280202112777,5819.77
4.0,16.87612475788147,5857.47
4.0,31.622776601683793,5885.48
4.0,1.0,5466.77
