# Time 8,KK,Kpp,PP,K,Kp,K_KK,Kp_KK,Kpp_PP,Kp_PP,KKa,PPa
0.0000000000,497,0,103,1201,0,0,0,0,0,0,0
0.5000001486,391,30,101,1059,4,96,10,2,0,0,0
1.0000002973,364,102,102,952,13,115,18,1,0,0,0
1.5000004459,360,181,101,865,16,121,16,2,0,0,0
2.0000005946,362,275,102,773,17,120,15,1,0,0,0
2.5000007432,380,350,90,695,26,105,12,12,1,0,0
3.0000008919,391,410,88,642,28,95,11,14,1,0,0
3.5000010405,394,464,88,587,32,94,9,12,3,0,0
4.0000011892,389,504,88,540,34,88,20,15,0,0,0
4.5000013377,405,555,83,498,36,87,5,18,2,0,0
5.0000014865,407,601,83,450,40,87,3,20,0,0,0
5.5000016351,413,642,82,415,39,74,10,19,2,0,0
6.0000017833,425,684,77,381,38,67,5,24,2,0,0
6.5000019324,435,727,83,350,42,56,6,20,0,0,0
7.0000020810,451,767,84,329,40,42,4,19,0,0,0
7.5000022289,430,777,80,297,37,60,7,23,0,0,0
8.0000023783,439,802,73,278,33,51,7,28,2,0,0
8.5000025269,444,826,74,259,34,46,7,29,0,0,0
9.0000026749,456,842,69,250,34,36,5,27,7,0,0
9.5000028240,446,865,79,229,32,43,8,23,1,0,0
10.0000029725,454,882,73,215,31,41,2,26,4,0,0
10.5000031210,455,890,75,211,30,37,5,27,1,0,0
11.0000032696,463,902,79,209,32,32,2,21,3,0,0
11.5000034181,456,901,72,197,31,36,5,30,1,0,0
12.0000035667,454,914,74,188,27,38,5,25,4,0,0
12.5000037152,457,923,81,187,29,37,3,20,2,0,0
13.0000038637,465,943,82,181,24,27,5,20,1,0,0
13.5000040123,469,948,69,170,21,27,1,29,5,0,0
14.0000041608,465,943,75,176,22,31,1,26,2,0,0
14.5000043094,459,937,69,172,20,37,1,30,4,0,0
15.0000044579,466,940,75,180,22,26,5,25,3,0,0
15.5000046065,471,948,78,182,20,22,4,25,0,0,0
16.0000047550,466,937,72,181,21,30,1,28,3,0,0
16.5000049037,461,939,77,181,19,35,1,26,0,0,0
17.0000050525,460,947,79,172,21,33,4,23,1,0,0
17.5000052013,465,957,78,167,20,29,3,25,0,0,0
18.0000053500,459,948,74,166,20,37,1,28,1,0,0
18.5000054988,460,942,75,175,19,32,5,24,4,0,0
