# Time 8,KK,Kpp,PP,K,Kp,K_KK,Kp_KK,Kpp_PP,Kp_PP,KKa,PPa
0.0000000000,582,0,18,1201,0,0,0,0,0,0,0
0.5000001486,463,32,18,1048,2,110,9,0,0,0,0
1.0000002973,437,111,18,935,10,138,7,0,0,0,0
1.5000004459,436,219,18,823,13,139,7,0,0,0,0
2.0000005946,436,318,17,714,22,132,14,1,0,0,0
2.5000007432,456,405,15,641,26,120,6,2,1,0,0
3.0000008919,447,474,15,564,25,123,12,3,0,0,0
3.5000010405,455,549,15,491,31,118,9,3,0,0,0
4.0000011892,470,630,15,426,30,103,9,3,0,0,0
4.5000013377,496,697,14,381,33,77,9,4,0,0,0
5.0000014865,506,750,15,340,32,68,8,3,0,0,0
5.5000016351,504,781,14,307,31,67,11,4,0,0,0
6.0000017833,520,834,13,270,30,57,5,4,1,0,0
6.5000019324,530,869,13,243,32,46,6,4,1,0,0
7.0000020810,536,904,15,216,32,45,1,3,0,0,0
7.5000022289,534,933,15,192,25,42,6,3,0,0,0
8.0000023783,546,966,13,174,20,29,7,4,1,0,0
8.5000025269,543,994,14,147,17,33,6,4,0,0,0
9.0000026749,549,1016,12,130,16,28,5,6,0,0,0
9.5000028240,558,1038,10,120,11,23,1,7,1,0,0
10.0000029725,560,1061,18,107,11,19,3,0,0,0,0
10.5000031210,563,1066,7,94,11,19,0,11,0,0,0
11.0000032696,557,1077,12,83,10,24,1,6,0,0,0
11.5000034181,564,1090,12,75,12,17,1,6,0,0,0
12.0000035667,560,1095,10,66,10,19,3,4,4,0,0
12.5000037152,568,1112,15,65,7,13,1,2,1,0,0
13.0000038637,572,1121,15,60,7,9,1,2,1,0,0
13.5000040123,573,1123,12,55,8,7,2,6,0,0,0
14.0000041608,571,1127,14,52,7,10,1,4,0,0,0
14.5000043094,569,1131,12,46,5,11,2,6,0,0,0
15.0000044579,569,1138,12,39,5,13,0,6,0,0,0
15.5000046065,571,1142,13,39,4,11,0,5,0,0,0
16.0000047550,574,1148,11,36,2,8,0,6,1,0,0
16.5000049037,573,1149,11,34,2,9,0,7,0,0,0
17.0000050525,573,1153,12,31,2,8,1,6,0,0,0
17.5000052013,572,1152,10,28,3,10,0,7,1,0,0
18.0000053500,570,1149,10,30,2,12,0,7,1,0,0
18.5000054988,570,1147,10,32,2,11,1,7,1,0,0
19.0000056475,573,1150,12,33,3,7,2,4,2,0,0
19.5000057963,578,1149,14,41,3,4,0,4,0,0,0
20.0000059450,572,1146,13,37,3,7,3,4,1,0,0
20.5000060938,574,1152,16,36,3,7,1,2,0,0,0
21.0000062425,577,1153,11,34,2,4,1,7,0,0,0
21.5000063913,576,1151,10,33,3,6,0,7,1,0,0
22.0000065400,576,1151,13,33,6,5,1,5,0,0,0
22.5000066888,576,1153,15,31,8,4,2,3,0,0,0
23.0000068375,577,1157,15,30,6,5,0,3,0,0,0
23.5000069863,578,1157,10,25,7,4,0,8,0,0,0
24.0000071350,580,1157,12,28,8,2,0,4,2,0,0
24.5000072838,578,1156,11,28,6,4,0,6,1,0,0
25.0000074326,580,1156,10,30,5,2,0,5,3,0,0
25.5000075813,576,1156,13,29,5,6,0,3,2,0,0
26.0000077301,576,1156,13,29,5,6,0,4,1,0,0
26.5000078788,577,1156,14,30,6,5,0,3,1,0,0
27.0000080276,572,1156,15,27,5,9,1,3,0,0,0
27.5000081763,573,1156,12,26,4,9,0,5,1,0,0
28.0000083251,576,1159,13,25,6,6,0,5,0,0,0
28.5000084738,577,1160,16,29,5,5,0,2,0,0,0
29.0000086226,574,1160,14,23,6,7,1,3,1,0,0
29.5000087713,575,1160,13,24,5,7,0,5,0,0,0
30.0000089201,575,1160,14,26,4,4,3,4,0,0,0
30.5000090688,576,1161,9,22,3,5,1,6,3,0,0
31.0000092176,578,1159,14,29,5,4,0,4,0,0,0
31.5000093663,577,1160,14,28,4,5,0,3,1,0,0
32.0000095151,571,1152,10,27,3,11,0,8,0,0,0
32.5000096638,572,1150,9,29,3,9,1,9,0,0,0
33.0000098126,576,1154,10,29,4,5,1,6,2,0,0
