# Time 8,KK,Kpp,PP,K,Kp,K_KK,Kp_KK,Kpp_PP,Kp_PP,KKa,PPa
0.0000000000,431,0,169,1201,0,0,0,0,0,0,0
0.5000003900,188,34,159,843,71,231,12,7,3,0,0
1.0000007801,181,103,150,716,113,234,16,13,6,0,0
1.5000011701,211,170,132,655,119,206,14,31,6,0,0
2.0000015601,224,225,113,577,136,183,24,46,10,0,0
2.5000019502,229,310,111,505,126,184,18,49,9,0,0
3.0000023403,239,378,100,433,129,184,8,61,8,0,0
3.5000027304,262,447,90,388,118,154,15,71,8,0,0
4.0000031205,263,534,101,325,106,149,19,63,5,0,0
4.5000035104,285,600,89,281,94,131,15,75,5,0,0
5.0000039003,299,643,92,244,105,122,10,73,4,0,0
5.5000042901,309,691,86,202,103,107,15,78,5,0,0
6.0000046800,327,750,96,183,91,90,14,69,4,0,0
6.5000050699,325,765,68,145,84,89,17,98,3,0,0
7.0000054598,337,822,85,124,77,79,15,79,5,0,0
7.5000058497,337,835,65,107,61,73,21,100,4,0,0
8.0000062396,361,872,80,106,64,55,15,86,3,0,0
8.5000066299,376,876,68,102,67,43,12,99,2,0,0
9.0000070202,370,890,70,87,64,53,8,95,4,0,0
9.5000074105,377,894,61,88,57,42,12,105,3,0,0
10.0000078008,375,907,68,71,66,47,9,99,2,0,0
10.5000081911,374,921,68,60,62,46,11,99,2,0,0
11.0000085814,371,923,71,61,59,49,11,95,3,0,0
11.5000089717,394,947,81,70,59,31,6,85,3,0,0
12.0000093621,386,941,68,56,58,32,13,100,1,0,0
12.5000097524,386,942,52,55,42,33,12,112,5,0,0
13.0000101427,393,953,66,51,56,32,6,102,1,0,0
13.5000105330,402,967,70,49,57,23,6,97,2,0,0
14.0000109233,399,972,73,47,54,26,6,94,2,0,0
14.5000113136,401,968,70,60,44,21,9,94,5,0,0
15.0000117039,386,949,65,48,55,37,8,99,5,0,0
15.5000120942,388,954,70,56,49,35,8,97,2,0,0
16.0000124845,392,951,67,48,61,28,11,100,2,0,0
16.5000128748,392,969,73,39,58,30,9,94,2,0,0
17.0000132651,378,956,68,38,53,37,16,99,2,0,0
17.5000136554,389,964,66,41,51,30,12,100,3,0,0
18.0000140457,399,960,56,50,46,23,9,109,4,0,0
18.5000144360,389,970,70,44,46,31,11,98,1,0,0
19.0000148263,403,968,63,52,47,25,3,103,3,0,0
19.5000152166,393,975,66,43,42,25,13,103,0,0,0
20.0000156069,402,968,66,49,52,17,12,98,5,0,0
20.5000159972,399,961,72,51,60,25,7,92,5,0,0
21.0000163875,386,946,66,53,54,30,15,100,3,0,0
21.5000167778,394,962,66,52,47,29,8,100,3,0,0
22.0000171681,384,974,72,40,43,33,14,95,2,0,0
22.5000175584,393,979,76,41,50,24,14,89,4,0,0
23.0000179487,394,974,68,41,48,29,8,97,4,0,0
23.5000183390,399,975,67,41,51,24,8,102,0,0,0
24.0000187293,385,959,66,36,57,34,12,100,3,0,0
24.5000191196,396,968,57,35,51,25,10,108,4,0,0
25.0000195099,392,968,65,38,52,27,12,102,2,0,0
25.5000199002,389,975,72,36,51,25,17,97,0,0,0
26.0000202906,396,962,61,47,49,22,13,103,5,0,0
26.5000206809,394,968,60,41,46,29,8,108,1,0,0
27.0000210712,398,977,74,45,51,23,10,92,3,0,0
27.5000214615,395,973,68,46,45,30,6,101,0,0,0
28.0000218518,396,972,65,37,53,30,5,103,1,0,0
28.5000222421,398,964,63,44,54,20,13,103,3,0,0
29.0000226324,407,971,65,51,51,19,5,100,4,0,0
29.5000230227,381,962,70,48,42,31,19,98,1,0,0
30.0000234130,391,960,70,41,61,33,7,95,4,0,0
