# Time 8,KK,Kpp,P,K,Kp,K_KK,Kp_KK,Kpp_P,Kp_P,KKa,Pa
54.0000420756,175,408,164,430,102,108,17,125,11,0,0
54.5000424642,177,434,176,409,111,113,10,113,11,0,0
55.0000428529,190,434,186,423,120,100,10,105,9,0,0
55.5000432416,196,423,178,427,125,99,5,111,11,0,0
56.0000436302,164,418,177,402,122,117,19,111,12,0,0
56.5000440189,184,422,170,405,128,110,6,117,13,0,0
57.0000444076,174,436,191,409,121,114,12,95,14,0,0
57.5000447962,176,425,180,415,117,116,8,102,18,0,0
58.0000451849,180,412,186,425,130,113,7,106,8,0,0
58.5000455736,183,406,179,443,114,109,8,109,12,0,0
59.0000459622,171,379,171,441,123,116,13,117,12,0,0
59.5000463509,173,379,177,445,127,111,16,114,9,0,0
60.0000467396,170,396,181,449,107,118,12,112,7,0,0
60.5000471282,163,410,189,445,98,125,12,104,7,0,0
61.0000475169,161,398,184,441,107,129,10,106,10,0,0
61.5000479056,181,400,176,440,118,106,13,111,13,0,0
62.0000482942,184,408,186,442,121,110,6,101,13,0,0
62.5000486829,169,384,181,442,125,117,14,101,18,0,0
63.0000490716,179,385,183,454,124,111,10,104,13,0,0
63.5000494602,177,386,188,457,123,114,9,108,4,0,0
64.0000498489,176,393,184,464,104,116,8,104,12,0,0
64.5000502376,173,380,172,451,115,118,9,119,9,0,0
65.0000506262,161,383,174,438,115,130,9,117,9,0,0
65.5000510149,175,385,191,450,132,115,10,101,8,0,0
66.0000514036,169,375,166,443,118,118,13,120,14,0,0
66.5000517922,164,404,193,433,121,118,18,93,14,0,0
67.0000521809,177,407,184,434,121,113,10,102,14,0,0
67.5000525696,181,418,172,426,110,112,7,112,16,0,0
68.0000529582,168,404,178,426,117,119,13,108,14,0,0
68.5000533469,163,416,179,419,108,126,11,109,12,0,0
69.0000537356,168,402,181,426,122,122,10,105,14,0,0
69.5000541242,181,414,184,433,119,111,8,101,15,0,0
70.0000545129,195,417,186,455,110,98,7,103,11,0,0
70.5000549016,177,416,186,436,112,111,12,103,11,0,0
71.0000552902,159,401,183,427,115,128,13,108,9,0,0
71.5000556789,167,400,180,428,120,124,9,105,15,0,0
72.0000560676,187,391,176,450,123,101,12,112,12,0,0
72.5000564562,149,396,191,405,140,144,7,102,7,0,0
73.0000568449,162,384,183,418,144,115,23,102,15,0,0
73.5000572336,183,392,186,458,120,107,10,106,8,0,0
74.0000576222,179,404,182,447,111,111,10,109,9,0,0
74.5000580109,170,400,189,449,111,115,15,101,10,0,0
75.0000583996,180,387,177,443,128,108,12,114,9,0,0
75.5000587882,179,392,184,445,127,109,12,107,9,0,0
76.0000591769,169,403,200,440,127,123,8,91,9,0,0
76.5000595656,175,406,187,440,117,119,6,104,9,0,0
77.0000599543,182,399,176,421,139,110,8,109,15,0,0
77.5000603429,163,418,167,399,114,129,8,122,11,0,0
78.0000607316,171,432,175,399,116,119,10,111,14,0,0
78.5000611203,180,433,187,416,119,107,13,104,9,0,0
79.0000615089,174,427,177,398,127,116,10,107,16,0,0
79.5000618976,179,435,170,412,103,110,11,117,13,0,0
80.0000622863,173,445,182,411,100,118,9,102,16,0,0
80.5000626749,177,433,184,411,118,116,7,107,9,0,0
81.0000630636,167,421,177,401,123,116,17,113,10,0,0
81.5000634523,195,447,192,415,126,99,6,99,9,0,0
82.0000638409,175,434,179,410,111,110,15,111,10,0,0
82.5000642296,179,426,176,418,112,108,13,110,14,0,0
83.0000646183,176,414,175,430,108,114,10,110,15,0,0
83.5000650069,173,415,188,427,120,117,10,107,5,0,0
84.0000653956,180,397,178,423,139,108,12,111,11,0,0
84.5000657843,183,402,168,433,117,108,9,123,9,0,0
85.0000661729,191,403,171,433,127,98,11,113,16,0,0
85.5000665616,190,411,177,437,120,90,20,116,7,0,0
86.0000669503,176,427,178,408,120,112,12,111,11,0,0
86.5000673389,186,435,169,417,104,104,10,121,10,0,0
87.0000677276,188,435,166,414,106,103,9,121,13,0,0
87.5000681163,175,421,167,420,102,113,12,121,12,0,0
88.0000685049,182,407,166,419,123,106,12,126,8,0,0
88.5000688936,200,414,170,429,128,95,5,114,16,0,0
89.0000692823,167,422,183,414,115,113,20,109,8,0,0
89.5000696709,174,417,172,415,115,111,15,119,9,0,0
90.0000700596,179,418,182,423,121,113,8,106,12,0,0
90.5000704483,180,411,178,423,125,113,7,108,14,0,0
91.0000708369,168,406,176,407,132,119,13,116,8,0,0
91.5000712256,183,406,171,429,120,108,9,117,12,0,0
92.0000716143,167,404,186,419,131,115,18,96,18,0,0
92.5000720029,188,406,177,428,132,102,10,116,7,0,0
93.0000723916,161,407,186,429,112,126,13,103,11,0,0
93.5000727803,171,403,180,432,117,115,14,111,9,0,0
94.0000731689,176,403,182,428,128,117,7,102,16,0,0
94.5000735576,165,378,177,444,121,117,18,117,6,0,0
95.0000739463,172,397,173,436,113,115,13,119,8,0,0
95.5000743349,179,404,180,420,136,111,10,109,11,0,0
96.0000747236,171,396,184,434,126,121,8,111,5,0,0
96.5000751123,174,383,168,436,124,114,12,114,18,0,0
97.0000755009,174,412,198,446,115,116,10,96,6,0,0
97.5000758896,184,417,171,431,108,104,12,112,17,0,0
98.0000762783,175,425,192,432,111,113,12,100,8,0,0
98.5000766669,185,420,176,424,118,102,13,116,8,0,0
99.0000770556,182,424,172,408,123,104,14,118,10,0,0
99.5000774443,185,441,174,408,111,106,9,113,13,0,0
100.0000778329,166,422,173,383,135,120,14,119,8,0,0
100.5000782216,183,439,182,395,132,105,12,108,10,0,0
101.0000786103,160,431,176,387,119,128,12,112,12,0,0
101.5000789989,192,432,188,424,125,97,11,99,13,0,0
102.0000793876,183,422,175,424,113,104,13,119,6,0,0
102.5000797763,167,437,185,414,102,122,11,100,15,0,0
103.0000801649,198,423,186,457,105,91,11,107,7,0,0
103.5000805536,181,401,170,446,105,107,12,117,13,0,0
104.0000809423,160,401,189,435,114,129,11,100,11,0,0
104.5000813309,178,403,182,445,113,115,7,103,15,0,0
105.0000817196,165,387,175,449,105,126,9,106,19,0,0
105.5000821083,164,371,179,441,132,130,6,114,7,0,0
106.0000824970,166,373,169,440,123,120,14,109,22,0,0
106.5000828856,171,385,176,449,114,115,14,111,13,0,0
107.0000832743,175,399,180,430,127,116,9,110,10,0,0
