# Time 8,KK,Kpp,PP,K,Kp,K_KK,Kp_KK,Kpp_PP,Kp_PP,KKa,PPa
0.0000000000,103,0,497,1201,0,0,0,0,0,0,0
0.5000003900,37,5,492,1107,18,66,0,1,4,0,0
1.0000007801,41,10,492,1101,23,61,1,2,3,0,0
1.5000011701,41,13,491,1089,31,62,0,5,1,0,0
2.0000015601,50,16,483,1088,30,52,1,7,7,0,0
2.5000019502,30,22,486,1071,24,73,0,5,6,0,0
3.0000023403,38,26,480,1066,27,65,0,11,6,0,0
3.5000027304,33,23,475,1053,33,68,2,12,10,0,0
4.0000031205,39,21,480,1073,26,62,2,12,5,0,0
4.5000035104,34,17,473,1066,25,67,2,13,11,0,0
5.0000039003,39,16,472,1069,27,62,2,18,7,0,0
5.5000042901,39,16,481,1078,27,64,0,12,4,0,0
6.0000046800,39,15,474,1068,31,63,1,14,9,0,0
6.5000050699,37,15,479,1074,28,64,2,9,9,0,0
7.0000054598,40,21,470,1070,20,59,4,11,16,0,0
7.5000058497,38,26,481,1070,24,64,1,13,3,0,0
8.0000062396,36,17,467,1066,21,65,2,18,12,0,0
8.5000066299,33,22,481,1067,26,69,1,11,5,0,0
9.0000070202,44,19,478,1072,32,58,1,16,3,0,0
9.5000074105,36,20,478,1067,28,67,0,13,6,0,0
10.0000078008,44,22,474,1069,28,57,2,14,9,0,0
10.5000081911,39,18,474,1067,29,64,0,17,6,0,0
11.0000085814,42,16,477,1082,22,58,3,12,8,0,0
11.5000089717,53,15,479,1094,24,49,1,13,5,0,0
12.0000093621,51,22,481,1088,23,52,0,11,5,0,0
12.5000097524,40,19,481,1075,28,61,2,13,3,0,0
13.0000101427,46,18,482,1073,38,56,1,10,5,0,0
13.5000105330,32,23,483,1067,26,70,1,10,4,0,0
14.0000109233,41,22,482,1079,23,58,4,8,7,0,0
14.5000113136,36,17,475,1069,26,66,1,15,7,0,0
15.0000117039,35,19,478,1073,22,67,1,14,5,0,0
15.5000120942,33,14,474,1071,23,70,0,17,6,0,0
16.0000124845,43,14,478,1079,29,59,1,12,7,0,0
16.5000128748,43,14,471,1080,21,57,3,15,11,0,0
17.0000132651,47,16,481,1088,25,56,0,10,6,0,0
17.5000136554,41,11,481,1083,29,62,0,9,7,0,0
18.0000140457,32,13,483,1082,21,70,1,10,4,0,0
18.5000144360,41,16,482,1073,35,60,2,9,6,0,0
19.0000148263,38,16,482,1075,30,64,1,11,4,0,0
19.5000152166,41,13,480,1084,25,62,0,13,4,0,0
20.0000156069,45,11,479,1082,32,57,1,13,5,0,0
20.5000159972,36,11,471,1079,18,66,1,12,14,0,0
21.0000163875,41,12,484,1082,32,60,2,6,7,0,0
21.5000167778,50,11,478,1088,30,51,2,12,7,0,0
22.0000171681,32,11,483,1083,22,71,0,7,7,0,0
22.5000175584,41,15,489,1096,20,62,0,4,4,0,0
23.0000179487,38,12,484,1093,18,64,1,10,3,0,0
23.5000183390,38,12,481,1084,24,65,0,12,4,0,0
24.0000187293,41,16,476,1073,29,61,1,11,10,0,0
24.5000191196,43,16,479,1083,24,58,2,8,10,0,0
25.0000195099,43,13,486,1092,25,58,2,8,3,0,0
25.5000199002,46,15,478,1090,20,56,1,12,7,0,0
26.0000202906,47,15,481,1090,24,55,1,15,1,0,0
26.5000206809,32,15,483,1080,21,67,4,8,6,0,0
27.0000210712,42,13,474,1073,31,60,1,12,11,0,0
27.5000214615,47,16,481,1084,29,55,1,8,8,0,0
28.0000218518,42,19,483,1084,23,61,0,10,4,0,0
28.5000222421,44,18,479,1078,28,58,1,11,7,0,0
29.0000226324,36,19,479,1071,26,67,0,10,8,0,0
29.5000230227,45,18,477,1078,27,58,0,13,7,0,0
30.0000234130,39,16,479,1080,23,62,2,16,2,0,0
30.5000238033,44,14,480,1078,33,59,0,11,6,0,0
31.0000241936,35,12,482,1089,17,67,1,11,4,0,0
31.5000245839,34,10,486,1093,18,66,3,9,2,0,0
32.0000249742,33,14,488,1083,25,70,0,3,6,0,0
32.5000253629,36,13,482,1085,21,67,0,8,7,0,0
33.0000257515,34,11,479,1071,32,67,2,11,7,0,0
33.5000261402,38,11,479,1081,26,64,1,10,8,0,0
34.0000265289,34,20,485,1079,21,68,1,9,3,0,0
34.5000269175,31,26,478,1062,22,71,1,13,6,0,0
35.0000273062,42,24,478,1062,35,61,0,10,9,0,0
35.5000276949,47,24,486,1075,35,55,1,9,2,0,0
36.0000280835,45,11,473,1083,25,56,2,19,5,0,0
36.5000284722,39,14,483,1077,32,64,0,9,5,0,0
37.0000288609,42,12,484,1088,27,59,2,8,5,0,0
37.5000292495,49,14,481,1088,29,52,2,7,9,0,0
38.0000296382,39,15,478,1082,21,63,1,10,9,0,0
38.5000300269,42,21,482,1089,15,60,1,8,7,0,0
39.0000304155,37,17,474,1067,28,65,1,12,11,0,0
39.5000308042,38,20,481,1067,33,63,2,9,7,0,0
40.0000311929,40,18,476,1074,25,63,0,13,8,0,0
40.5000315815,37,18,481,1076,25,64,2,13,3,0,0
41.0000319702,39,22,475,1070,23,63,1,15,7,0,0
41.5000323589,40,17,477,1067,34,63,0,15,5,0,0
42.0000327475,37,12,479,1078,27,64,2,14,4,0,0
42.5000331362,42,17,476,1072,30,61,0,14,7,0,0
43.0000335249,35,14,480,1076,26,66,2,13,4,0,0
43.5000339135,43,15,475,1065,39,58,2,15,7,0,0
44.0000343022,38,23,481,1066,31,64,1,13,3,0,0
44.5000346909,42,19,471,1071,24,60,1,16,10,0,0
45.0000350795,44,16,477,1070,36,58,1,13,7,0,0
45.5000354682,37,15,480,1073,30,66,0,15,2,0,0
46.0000358569,35,13,479,1083,19,67,1,13,5,0,0
46.5000362455,35,10,479,1070,35,66,2,12,6,0,0
47.0000366342,40,13,477,1083,22,63,0,8,12,0,0
47.5000370229,36,12,479,1078,26,67,0,12,6,0,0
48.0000374115,36,11,484,1073,37,64,3,8,5,0,0
48.5000378002,39,10,477,1080,27,64,0,10,10,0,0
49.0000381889,53,12,482,1088,36,49,1,9,6,0,0
49.5000385775,30,14,486,1076,27,71,2,6,5,0,0
50.0000389662,42,10,480,1090,23,59,2,10,7,0,0
50.5000393549,37,12,484,1084,26,66,0,11,2,0,0
51.0000397436,42,9,479,1080,33,61,0,12,6,0,0
51.5000401322,44,12,478,1083,28,58,1,13,6,0,0
52.0000405209,50,13,476,1092,22,53,0,14,7,0,0
52.5000409096,35,15,475,1068,28,68,0,15,7,0,0
53.0000412982,44,21,480,1085,19,58,1,12,5,0,0
53.5000416869,37,16,479,1069,32,65,1,14,4,0,0
54.0000420756,38,19,481,1067,34,65,0,10,6,0,0
54.5000424642,37,14,478,1081,21,63,3,13,6,0,0
