# Time 8,KK,Kpp,PP,K,Kp,K_KK,Kp_KK,Kpp_PP,Kp_PP,KKa,PPa
0.0000000000,566,0,34,1201,0,0,0,0,0,0,0
0.5000003900,251,44,32,725,115,299,16,1,1,0,0
1.0000007801,282,207,29,563,142,256,28,5,0,0,0
1.5000011701,325,394,25,425,132,215,26,8,1,0,0
2.0000015601,357,548,20,304,126,189,20,14,0,0,0
2.5000019502,393,690,20,228,96,151,22,13,1,0,0
3.0000023403,439,817,12,171,64,107,20,21,1,0,0
3.5000027304,465,907,17,126,50,91,10,16,1,0,0
4.0000031205,487,974,15,94,35,71,8,19,0,0,0
4.5000035104,502,1024,20,65,34,58,6,14,0,0,0
5.0000039003,519,1058,10,42,30,38,9,24,0,0,0
5.5000042901,531,1095,11,23,25,29,6,23,0,0,0
6.0000046800,539,1119,10,14,17,21,6,22,2,0,0
6.5000050699,550,1144,13,11,9,15,1,20,1,0,0
7.0000054598,553,1146,9,13,4,12,1,25,0,0,0
7.5000058497,553,1148,12,7,11,9,4,22,0,0,0
8.0000062396,556,1157,10,5,5,8,2,23,1,0,0
8.5000066299,557,1150,12,8,12,6,3,21,1,0,0
9.0000070202,562,1160,16,9,10,2,2,18,0,0,0
9.5000074105,559,1161,17,5,11,5,2,17,0,0,0
10.0000078008,561,1157,14,10,9,2,3,20,0,0,0
10.5000081911,560,1158,12,5,10,4,2,22,0,0,0
11.0000085814,561,1167,14,3,6,4,1,20,0,0,0
11.5000089717,559,1164,18,5,9,3,4,16,0,0,0
12.0000093621,560,1160,12,6,7,5,1,21,1,0,0
12.5000097524,560,1159,10,8,4,3,3,24,0,0,0
13.0000101427,558,1154,12,7,10,2,6,22,0,0,0
13.5000105330,557,1162,14,4,6,4,5,19,1,0,0
14.0000109233,561,1167,14,4,5,4,1,20,0,0,0
14.5000113136,560,1161,9,3,6,5,1,25,0,0,0
15.0000117039,561,1166,14,2,8,3,2,20,0,0,0
15.5000120942,561,1167,15,2,8,2,3,18,1,0,0
16.0000124845,560,1165,15,2,9,2,4,18,1,0,0
16.5000128748,563,1161,12,4,11,2,1,21,1,0,0
17.0000132651,560,1163,14,5,7,4,2,19,1,0,0
17.5000136554,558,1157,12,2,12,4,4,22,0,0,0
18.0000140457,562,1170,14,4,3,2,2,20,0,0,0
18.5000144360,562,1162,10,4,7,3,1,24,0,0,0
19.0000148263,563,1167,10,5,2,2,1,22,2,0,0
19.5000152166,562,1163,14,5,9,4,0,20,0,0,0
20.0000156069,563,1156,8,4,12,2,1,26,0,0,0
20.5000159972,556,1153,14,3,15,3,7,20,0,0,0
21.0000163875,558,1156,11,2,12,5,3,23,0,0,0
21.5000167778,559,1162,13,6,5,4,3,21,0,0,0
22.0000171681,560,1157,8,4,8,5,1,25,1,0,0
22.5000175584,558,1159,9,2,7,7,1,25,0,0,0
23.0000179487,556,1170,17,1,3,4,6,17,0,0,0
23.5000183390,563,1162,12,0,14,2,1,22,0,0,0
24.0000187293,562,1167,17,0,13,1,3,17,0,0,0
24.5000191196,559,1162,6,1,3,3,4,28,0,0,0
25.0000195099,559,1166,13,1,6,3,4,19,2,0,0
25.5000199002,559,1166,18,3,9,6,1,16,0,0,0
26.0000202906,561,1156,10,7,9,3,2,24,0,0,0
26.5000206809,558,1159,9,7,2,6,2,25,0,0,0
27.0000210712,562,1163,12,6,6,2,2,22,0,0,0
27.5000214615,564,1166,14,4,9,1,1,20,0,0,0
28.0000218518,560,1165,11,2,5,2,4,23,0,0,0
28.5000222421,563,1174,15,1,4,2,1,19,0,0,0
29.0000226324,565,1169,8,2,3,0,1,26,0,0,0
29.5000230227,564,1169,11,1,6,1,1,23,0,0,0
30.0000234130,564,1170,13,2,6,0,2,20,1,0,0
30.5000238033,560,1166,12,2,5,2,4,22,0,0,0
31.0000241936,564,1171,14,2,6,1,1,20,0,0,0
31.5000245839,561,1162,11,2,9,3,2,22,1,0,0
