# Time 8,KK,Kpp,PP,K,Kp,K_KK,Kp_KK,Kpp_PP,Kp_PP,KKa,PPa
0.0000000000,168,0,432,1201,0,0,0,0,0,0,0
0.5000003900,62,7,423,1055,24,102,4,1,8,0,0
1.0000007801,64,12,425,1040,38,102,2,2,5,0,0
1.5000011701,61,17,412,1016,41,103,4,8,12,0,0
2.0000015601,66,34,417,1008,42,99,3,10,5,0,0
2.5000019502,56,34,410,978,55,109,3,19,3,0,0
3.0000023403,68,31,397,989,46,99,1,24,11,0,0
3.5000027304,74,38,396,984,49,94,0,19,17,0,0
4.0000031205,65,48,408,977,49,101,2,19,5,0,0
4.5000035104,66,43,399,970,53,100,2,23,10,0,0
5.0000039003,70,34,391,977,51,95,3,30,11,0,0
5.5000042901,63,46,399,971,46,104,1,19,14,0,0
6.0000046800,67,38,400,977,53,97,4,25,7,0,0
6.5000050699,82,37,395,984,57,84,2,29,8,0,0
7.0000054598,72,39,397,977,54,93,3,34,1,0,0
7.5000058497,70,40,394,969,56,96,2,29,9,0,0
8.0000062396,65,44,399,965,56,101,2,23,10,0,0
8.5000066299,67,56,397,954,55,98,3,22,13,0,0
9.0000070202,66,42,381,952,54,99,3,33,18,0,0
9.5000074105,75,49,394,969,52,91,2,27,11,0,0
10.0000078008,59,44,403,955,64,107,2,19,10,0,0
10.5000081911,62,43,396,961,55,105,1,28,8,0,0
11.0000085814,72,44,405,988,46,92,4,20,7,0,0
11.5000089717,59,44,393,971,38,105,4,28,11,0,0
12.0000093621,61,43,394,967,46,105,2,30,8,0,0
12.5000097524,66,49,402,968,52,101,1,19,11,0,0
13.0000101427,58,40,399,963,55,109,1,26,7,0,0
13.5000105330,61,45,400,966,51,103,4,24,8,0,0
14.0000109233,69,45,392,962,55,94,5,30,10,0,0
14.5000113136,74,51,399,971,52,89,5,22,11,0,0
15.0000117039,74,48,398,973,52,94,0,23,11,0,0
15.5000120942,73,36,397,979,56,92,3,24,11,0,0
16.0000124845,74,43,407,997,42,93,1,18,7,0,0
16.5000128748,67,42,398,982,42,97,4,26,8,0,0
17.0000132651,67,46,399,975,46,100,1,22,11,0,0
17.5000136554,65,36,398,975,53,100,3,24,10,0,0
18.0000140457,65,44,408,989,41,102,1,13,11,0,0
18.5000144360,62,42,394,977,38,104,2,21,17,0,0
19.0000148263,68,36,395,975,53,98,2,31,6,0,0
19.5000152166,68,40,393,954,68,97,3,21,18,0,0
20.0000156069,69,45,400,978,47,96,3,22,10,0,0
20.5000159972,77,45,390,973,50,90,1,29,13,0,0
21.0000163875,67,42,389,961,54,100,1,33,10,0,0
21.5000167778,60,41,395,957,58,105,3,28,9,0,0
22.0000171681,70,48,400,963,60,93,5,26,6,0,0
22.5000175584,60,50,396,971,36,105,3,27,9,0,0
23.0000179487,73,49,396,973,48,92,3,30,6,0,0
23.5000183390,73,61,390,967,36,93,2,30,12,0,0
24.0000187293,69,62,384,949,43,99,0,32,16,0,0
24.5000191196,64,41,379,956,47,101,3,42,11,0,0
25.0000195099,80,50,387,977,41,86,2,38,7,0,0
25.5000199002,71,40,389,964,57,95,2,35,8,0,0
26.0000202906,65,36,396,967,59,100,3,32,4,0,0
26.5000206809,64,37,399,968,59,103,1,23,10,0,0
27.0000210712,65,40,409,984,51,101,2,19,4,0,0
27.5000214615,62,34,401,978,52,103,3,25,6,0,0
28.0000218518,64,43,402,978,46,101,3,24,6,0,0
28.5000222421,76,43,397,981,50,90,2,23,12,0,0
29.0000226324,57,44,398,961,51,110,1,26,8,0,0
29.5000230227,65,47,401,970,50,102,1,26,5,0,0
30.0000234130,65,36,384,968,46,100,3,34,14,0,0
30.5000238033,61,50,397,964,45,104,3,30,5,0,0
31.0000241936,57,48,400,964,46,110,1,23,9,0,0
31.5000245839,59,57,395,955,43,108,1,26,11,0,0
32.0000249742,67,50,390,952,56,99,2,35,7,0,0
32.5000253629,74,47,390,961,57,93,1,29,13,0,0
33.0000257515,75,51,396,971,50,92,1,26,10,0,0
33.5000261402,67,37,391,965,57,101,0,33,8,0,0
34.0000265289,75,48,402,975,55,92,1,24,6,0,0
34.5000269175,69,36,392,964,62,96,3,29,11,0,0
35.0000273062,64,40,393,981,37,99,5,31,8,0,0
35.5000276949,67,44,401,979,46,100,1,21,10,0,0
36.0000280835,66,34,395,976,52,100,2,33,4,0,0
36.5000284722,77,35,395,982,56,89,2,27,10,0,0
37.0000288609,73,38,395,975,56,94,1,27,10,0,0
37.5000292495,67,43,393,980,38,99,2,25,14,0,0
38.0000296382,65,49,402,970,49,100,3,19,11,0,0
38.5000300269,64,35,395,972,53,102,2,29,8,0,0
39.0000304155,67,40,395,982,41,100,1,31,6,0,0
39.5000308042,66,32,402,983,54,101,1,22,8,0,0
40.0000311929,64,38,395,961,61,101,3,27,10,0,0
40.5000315815,58,43,405,982,39,108,2,18,9,0,0
41.0000319702,71,28,401,988,57,93,4,26,5,0,0
41.5000323589,67,41,401,981,47,99,2,22,9,0,0
42.0000327475,57,53,403,977,31,109,2,21,8,0,0
42.5000331362,62,43,397,974,43,101,5,26,9,0,0
43.0000335249,66,43,395,971,48,102,0,25,12,0,0
43.5000339135,69,37,391,973,51,97,2,33,8,0,0
44.0000343022,67,41,401,970,58,100,1,25,6,0,0
44.5000346909,71,46,396,968,54,93,4,23,13,0,0
45.0000350795,65,40,396,971,51,99,4,26,10,0,0
45.5000354682,70,42,395,967,57,97,1,28,9,0,0
46.0000358569,69,51,399,974,44,95,4,25,8,0,0
46.5000362455,67,42,388,966,48,99,2,31,13,0,0
47.0000366342,74,41,384,979,39,90,4,34,14,0,0
47.5000370229,64,53,395,963,44,101,3,27,10,0,0
48.0000374115,69,48,389,958,53,98,1,34,9,0,0
48.5000378002,63,46,393,948,63,100,5,28,11,0,0
49.0000381889,60,41,387,952,55,102,6,34,11,0,0
49.5000385775,61,46,393,948,61,102,5,30,9,0,0
50.0000389662,70,53,394,964,48,96,2,32,6,0,0
50.5000393549,66,52,395,953,57,99,3,28,9,0,0
51.0000397436,70,51,406,968,58,94,4,19,7,0,0
51.5000401322,70,49,394,974,42,94,4,28,10,0,0
52.0000405209,56,48,400,970,39,109,3,24,8,0,0
52.5000409096,53,45,400,961,48,112,3,19,13,0,0
53.0000412982,62,45,406,980,44,102,4,19,7,0,0
53.5000416869,64,40,400,977,48,100,4,25,7,0,0
54.0000420756,78,47,407,986,53,85,5,20,5,0,0
54.5000424642,71,54,401,968,51,97,0,25,6,0,0
55.0000428529,73,48,392,983,35,95,0,33,7,0,0
55.5000432416,73,45,393,977,45,90,5,29,10,0,0
56.0000436302,70,45,404,990,40,97,1,23,5,0,0
56.5000440189,64,44,401,977,45,99,5,24,7,0,0
57.0000444076,67,43,397,982,40,99,2,24,11,0,0
57.5000447962,64,57,403,975,36,103,1,18,11,0,0
58.0000451849,70,42,398,972,55,96,2,28,6,0,0
58.5000455736,72,50,393,966,50,93,3,27,12,0,0
59.0000459622,77,44,398,979,53,88,3,27,7,0,0
59.5000463509,60,44,394,949,62,105,3,28,10,0,0
60.0000467396,64,51,400,966,48,103,1,23,9,0,0
60.5000471282,65,44,399,970,51,100,3,26,7,0,0
61.0000475169,73,46,391,974,45,94,1,25,16,0,0
61.5000479056,70,39,393,983,42,98,0,24,15,0,0
62.0000482942,70,33,391,981,48,97,1,30,11,0,0
62.5000486829,58,37,401,984,39,107,3,23,8,0,0
63.0000490716,85,54,407,992,47,81,2,13,12,0,0
63.5000494602,73,51,406,987,42,91,4,20,6,0,0
64.0000498489,69,45,396,972,49,99,0,27,9,0,0
64.5000502376,68,30,387,967,59,96,4,31,14,0,0
65.0000506262,60,41,389,960,49,105,3,27,16,0,0
65.5000510149,79,48,400,962,70,87,2,24,8,0,0
66.0000514036,72,47,398,974,50,92,4,23,11,0,0
66.5000517922,62,40,390,968,45,104,2,31,11,0,0
67.0000521809,67,47,398,962,57,96,5,23,11,0,0
67.5000525696,59,52,395,946,57,108,1,26,11,0,0
68.0000529582,80,41,385,960,65,87,1,31,16,0,0
68.5000533469,67,40,396,975,49,97,4,27,9,0,0
69.0000537356,65,38,391,969,50,101,2,25,16,0,0
