# Time 8,KK,Kpp,PP,K,Kp,K_KK,Kp_KK,Kpp_PP,Kp_PP,KKa,PPa
0.0000000000,497,0,103,1201,0,0,0,0,0,0,0
0.5000003900,217,42,96,782,90,269,11,3,4,0,0
1.0000007801,221,130,84,634,142,254,22,13,6,0,0
1.5000011701,247,243,77,544,138,227,23,17,9,0,0
2.0000015601,276,371,76,454,128,194,27,25,2,0,0
2.5000016117,305,486,65,372,113,176,16,36,2,0,0
3.0000023403,316,591,60,290,96,164,17,39,4,0,0
3.5000027304,345,677,40,220,89,132,20,61,2,0,0
4.0000031205,372,761,48,177,83,106,19,54,1,0,0
4.5000035104,404,834,35,137,69,81,12,62,6,0,0
5.0000039003,411,914,54,84,68,74,12,49,0,0,0
5.5000042901,437,949,36,63,62,48,12,65,2,0,0
6.0000046800,444,982,47,53,57,43,10,54,2,0,0
6.5000050699,456,1004,43,57,39,34,7,57,3,0,0
7.0000054598,463,1024,43,51,32,29,5,60,0,0,0
7.5000058497,459,1044,55,34,37,29,9,47,1,0,0
8.0000062396,465,1039,39,29,37,23,9,64,0,0,0
8.5000066299,469,1058,48,26,34,21,7,53,2,0,0
9.0000070202,467,1055,40,24,29,19,11,62,1,0,0
9.5000074105,470,1057,42,23,33,18,9,59,2,0,0
10.0000078008,478,1074,44,25,24,16,3,59,0,0,0
10.5000081911,467,1054,38,20,32,19,11,64,1,0,0
11.0000085814,471,1067,44,18,31,20,6,59,0,0,0
11.5000089717,477,1072,37,18,25,18,2,65,1,0,0
12.0000093621,474,1075,41,20,21,17,6,60,2,0,0
12.5000097524,472,1072,37,20,18,15,10,64,2,0,0
13.0000101427,472,1079,44,13,25,14,11,58,1,0,0
13.5000105330,478,1068,32,17,26,12,7,69,2,0,0
14.0000109233,477,1066,35,15,32,15,5,67,1,0,0
14.5000113136,481,1072,40,17,33,6,10,62,1,0,0
15.0000117039,482,1088,37,14,18,7,8,64,2,0,0
15.5000120942,484,1087,37,10,25,9,4,66,0,0,0
16.0000124845,482,1082,43,13,31,10,5,60,0,0,0
16.5000128748,479,1087,36,10,19,10,8,66,1,0,0
17.0000132651,479,1080,33,15,18,9,9,70,0,0,0
17.5000136554,485,1089,42,10,29,6,6,60,1,0,0
18.0000140457,486,1089,44,11,31,5,6,56,3,0,0
18.5000144360,488,1085,37,16,25,5,4,64,2,0,0
19.0000148263,482,1067,23,20,19,9,6,79,1,0,0
19.5000152166,480,1075,42,17,31,11,6,60,1,0,0
20.0000156069,481,1075,39,16,30,9,7,64,0,0,0
20.5000159972,478,1077,43,18,27,14,5,59,1,0,0
21.0000163875,484,1068,38,18,37,9,4,65,0,0,0
21.5000167778,484,1088,45,13,29,10,3,57,1,0,0
22.0000171681,483,1082,33,13,22,13,1,70,0,0,0
22.5000175584,483,1077,35,17,25,11,3,65,3,0,0
23.0000179487,481,1071,32,20,23,9,7,70,1,0,0
23.5000183390,474,1076,36,18,17,15,8,64,3,0,0
24.0000187293,487,1078,40,20,30,8,2,58,5,0,0
24.5000191196,471,1068,45,17,32,12,14,58,0,0,0
25.0000195099,480,1089,50,14,28,11,6,53,0,0,0
25.5000199002,483,1083,39,16,24,8,6,64,0,0,0
26.0000202906,477,1088,41,11,20,7,13,60,2,0,0
26.5000206809,482,1082,41,19,23,9,6,62,0,0,0
27.0000210712,489,1077,34,19,28,7,1,68,1,0,0
27.5000214615,484,1080,43,16,32,9,4,57,3,0,0
28.0000218518,484,1071,31,11,34,8,5,71,1,0,0
28.5000222421,480,1081,37,16,21,6,11,66,0,0,0
29.0000226324,485,1076,36,16,30,5,7,66,1,0,0
29.5000230227,476,1082,39,8,26,15,6,62,2,0,0
30.0000234130,487,1083,39,19,25,7,3,64,0,0,0
30.5000238033,482,1081,38,13,27,8,7,62,3,0,0
31.0000241936,470,1072,39,10,28,14,13,63,1,0,0
31.5000245839,482,1078,39,10,34,12,3,63,1,0,0
32.0000249742,478,1066,32,12,33,10,9,71,0,0,0
32.5000253629,480,1081,35,13,22,10,7,67,1,0,0
