# Time 8,KK,Kpp,PP,K,Kp,K_KK,Kp_KK,Kpp_PP,Kp_PP,KKa,PPa
0.0000000000,253,0,347,1201,0,0,0,0,0,0,0
0.5000001486,195,16,345,1122,3,54,4,2,0,0,0
1.0000002973,179,51,343,1065,7,69,5,4,0,0,0
1.5000004459,189,99,339,1020,10,58,6,8,0,0,0
2.0000005946,180,130,332,969,14,69,4,14,1,0,0
2.5000007432,170,160,330,923,18,76,7,17,0,0,0
3.0000008919,193,200,326,902,18,57,3,20,1,0,0
3.5000010405,191,213,324,881,22,57,5,20,3,0,0
4.0000011892,192,233,316,850,26,54,7,28,3,0,0
4.5000013377,192,253,314,828,26,54,7,30,3,0,0
5.0000014865,190,271,310,809,21,59,4,37,0,0,0
5.5000016351,201,288,304,794,24,51,1,35,8,0,0
6.0000017833,199,299,311,786,26,51,3,34,2,0,0
6.5000019324,187,303,314,767,32,57,9,31,2,0,0
7.0000020810,189,305,304,756,33,61,3,41,2,0,0
7.5000022289,187,310,304,746,36,61,5,38,5,0,0
8.0000023783,184,312,297,736,34,59,10,44,6,0,0
8.5000025269,192,334,306,736,29,52,9,34,7,0,0
9.0000026749,198,357,311,725,28,48,7,32,4,0,0
9.5000028240,192,363,301,700,31,59,2,43,3,0,0
10.0000029725,196,365,303,700,35,50,7,41,3,0,0
10.5000031210,208,385,301,687,38,42,3,41,5,0,0
11.0000032696,190,379,289,668,33,57,6,54,4,0,0
11.5000034181,190,392,302,666,35,58,5,41,4,0,0
12.0000035667,193,382,293,666,39,56,4,49,5,0,0
12.5000037152,195,387,295,664,40,50,8,47,5,0,0
13.0000038637,188,394,300,652,43,58,7,45,2,0,0
13.5000040123,201,393,291,659,41,48,4,50,6,0,0
14.0000041608,195,391,293,657,41,53,5,52,2,0,0
14.5000043094,202,403,297,660,37,46,5,46,4,0,0
15.0000044579,204,400,284,649,40,44,5,55,8,0,0
15.5000046065,207,406,300,658,44,38,8,43,4,0,0
16.0000047550,208,400,294,658,45,35,10,46,7,0,0
16.5000049037,215,416,298,651,47,36,2,48,1,0,0
17.0000050525,196,412,294,636,43,51,6,49,4,0,0
17.5000052013,202,419,297,643,38,43,8,43,7,0,0
18.0000053500,198,415,297,645,36,50,5,46,4,0,0
18.5000054988,191,408,293,640,37,52,10,51,3,0,0
19.0000056475,204,427,295,636,37,43,6,49,3,0,0
19.5000057963,197,436,310,638,34,50,6,34,3,0,0
20.0000059450,196,433,306,635,35,52,5,40,1,0,0
20.5000060938,203,435,306,638,37,43,7,39,2,0,0
21.0000062425,209,439,298,628,41,39,5,47,2,0,0
21.5000063913,210,437,299,630,43,41,2,45,3,0,0
22.0000065400,197,420,294,628,44,53,3,51,2,0,0
22.5000066888,196,433,299,620,43,55,2,46,2,0,0
23.0000068375,206,429,290,626,42,47,0,52,5,0,0
23.5000069863,196,417,290,626,44,54,3,52,5,0,0
24.0000071350,201,419,299,636,46,49,3,45,3,0,0
24.5000072838,205,417,291,642,38,46,2,49,7,0,0
25.0000074326,205,418,292,646,34,43,5,48,7,0,0
25.5000075813,194,416,294,641,32,54,5,49,4,0,0
26.0000077301,204,432,303,641,35,45,4,39,5,0,0
26.5000078788,201,420,292,640,34,48,4,51,4,0,0
27.0000080276,203,434,300,638,32,45,5,41,6,0,0
27.5000081763,198,428,293,632,32,49,6,50,4,0,0
28.0000083251,212,426,293,649,31,35,6,53,1,0,0
28.5000084738,213,435,292,639,32,37,3,53,2,0,0
29.0000086226,208,428,285,630,36,40,5,58,4,0,0
29.5000087713,207,420,288,641,35,40,6,54,5,0,0
30.0000089201,202,418,296,646,35,48,3,46,5,0,0
30.5000090688,201,423,307,650,36,47,5,38,2,0,0
31.0000092176,197,430,301,632,37,48,8,41,5,0,0
31.5000093663,201,429,293,626,40,50,2,53,1,0,0
32.0000095151,193,432,303,631,34,54,6,41,3,0,0
32.5000096638,195,437,298,618,39,50,8,45,4,0,0
33.0000098126,205,434,297,631,38,42,6,46,4,0,0
33.5000099614,203,421,286,630,39,44,6,52,9,0,0
34.0000101101,207,428,291,631,40,42,4,52,4,0,0
34.5000102589,203,427,288,623,42,45,5,56,3,0,0
35.0000104076,204,427,289,622,45,46,3,51,7,0,0
35.5000105564,189,432,298,613,43,57,7,47,2,0,0
36.0000107051,202,428,285,619,41,46,5,57,5,0,0
36.5000108539,206,426,283,624,40,41,6,56,8,0,0
37.0000110026,208,416,287,641,39,41,4,53,7,0,0
37.5000111514,196,416,284,633,32,53,4,57,6,0,0
38.0000113001,197,423,291,632,34,53,3,52,4,0,0
38.5000114489,198,424,292,631,36,50,5,52,3,0,0
39.0000115976,202,415,287,638,37,47,4,52,8,0,0
39.5000117464,203,426,295,641,32,45,5,46,6,0,0
40.0000118951,204,443,300,631,31,47,2,42,5,0,0
40.5000120439,197,436,299,630,31,49,7,48,0,0,0
41.0000121927,200,431,283,622,31,48,5,58,6,0,0
41.5000123414,195,426,296,634,32,54,4,49,2,0,0
42.0000124902,194,421,290,633,31,53,6,54,3,0,0
42.5000126389,202,422,288,631,38,46,5,56,3,0,0
43.0000127877,205,417,288,642,35,42,6,52,7,0,0
43.5000129364,199,403,285,645,37,50,4,56,6,0,0
44.0000130852,196,408,292,649,32,51,6,52,3,0,0
44.5000132339,192,415,298,647,29,55,6,42,7,0,0
45.0000133827,193,409,300,655,30,55,5,47,0,0,0
45.5000135314,200,417,300,655,29,47,6,42,5,0,0
46.0000136802,198,412,296,650,33,48,7,46,5,0,0
46.5000138289,197,406,296,653,35,51,5,46,5,0,0
47.0000139777,216,409,287,660,36,33,4,55,4,0,1
47.5000141264,213,419,302,662,35,37,3,42,3,0,0
48.0000142752,203,408,292,654,34,44,6,48,7,0,0
48.5000144239,196,401,293,654,35,49,8,48,6,0,0
49.0000145727,204,411,302,660,36,47,2,37,8,0,0
49.5000147215,192,423,311,649,32,52,9,33,3,0,0
