# Time 8,KK,Kpp,PP,K,Kp,K_KK,Kp_KK,Kpp_PP,Kp_PP,KKa,PPa
0.0000000000,566,0,34,1201,0,0,0,0,0,0,0
0.5000001486,425,37,34,1022,1,120,21,0,0,0,0
1.0000002973,416,122,33,918,10,138,12,1,0,0,0
1.5000004459,412,223,32,798,24,139,15,2,0,0,0
2.0000005946,419,313,30,710,27,140,7,4,0,0,0
2.5000007432,445,396,27,646,31,109,12,7,0,0,0
3.0000008919,453,478,31,573,34,99,14,3,0,0,0
3.5000010405,449,555,28,493,30,106,11,5,1,0,0
4.0000011892,465,607,23,445,37,93,8,11,0,0,0
4.5000013377,461,659,27,392,38,99,6,7,0,0,0
5.0000014865,476,723,28,346,36,76,14,6,0,0,0
5.5000016351,492,774,24,310,33,67,7,8,2,0,0
6.0000017833,502,815,28,281,35,54,10,5,1,0,0
6.5000019324,510,855,22,245,33,50,6,12,0,0,0
7.0000020810,520,889,23,224,31,41,5,11,0,0,0
7.5000022289,524,919,22,199,29,39,3,10,2,0,0
8.0000023783,526,942,27,183,29,34,6,6,1,0,0
8.5000025269,532,965,24,168,24,32,2,7,3,0,0
9.0000026749,535,986,22,149,23,28,3,10,2,0,0
9.5000028240,537,1002,21,133,24,26,3,12,1,0,0
10.0000029725,543,1018,25,131,20,21,2,9,0,0,0
10.5000031210,537,1031,23,111,19,26,3,11,0,0,0
11.0000032696,536,1047,25,102,13,25,5,8,1,0,0
11.5000034181,536,1053,25,95,14,27,3,9,0,0,0
12.0000035667,542,1064,21,87,13,22,2,13,0,0,0
12.5000037152,549,1074,21,81,16,16,1,12,1,0,0
13.0000038637,545,1079,26,74,19,21,0,8,0,0,0
13.5000040123,556,1089,20,69,19,9,1,11,3,0,0
14.0000041608,552,1092,22,69,14,13,1,9,3,0,0
14.5000043094,550,1097,23,64,13,13,3,11,0,0,0
15.0000044579,548,1102,24,61,10,15,3,10,0,0,0
15.5000046065,552,1110,26,60,9,12,2,7,1,0,0
16.0000047550,554,1113,21,54,9,11,1,12,1,0,0
16.5000049037,550,1121,25,45,10,16,0,9,0,0,0
17.0000050525,558,1124,24,49,10,5,3,10,0,0,0
17.5000052013,559,1122,21,48,11,6,1,11,2,0,0
18.0000053500,554,1124,29,51,9,11,1,5,0,0,0
18.5000054988,557,1123,21,48,8,8,1,12,1,0,0
19.0000056475,560,1122,20,52,7,5,1,13,1,0,0
19.5000057963,559,1126,24,52,6,6,1,8,2,0,0
20.0000059450,556,1132,25,45,5,10,0,7,2,0,0
20.5000060938,556,1130,26,47,6,8,2,7,1,0,0
21.0000062425,559,1130,22,47,5,7,0,8,4,0,0
21.5000063913,556,1131,26,44,8,10,0,6,2,0,0
22.0000065400,561,1133,28,48,9,4,1,6,0,0,0
22.5000066888,557,1135,25,41,7,8,1,8,1,0,0
23.0000068375,556,1129,21,42,7,10,0,12,1,0,0
23.5000069863,557,1123,23,52,6,8,1,11,0,0,0
24.0000071350,558,1122,23,56,4,7,1,11,0,0,0
24.5000072838,556,1121,25,55,6,9,1,9,0,0,0
25.0000074326,556,1122,26,54,7,10,0,8,0,0,0
25.5000075813,558,1127,27,52,7,8,0,6,1,0,0
26.0000077301,550,1131,24,41,3,16,0,8,2,0,0
26.5000078788,551,1129,20,39,4,13,2,13,1,0,0
27.0000080276,553,1131,21,38,6,11,2,12,1,0,0
27.5000081763,556,1131,22,41,7,9,1,9,3,0,0
28.0000083251,555,1132,24,41,7,11,0,9,1,0,0
28.5000084738,555,1139,27,37,7,10,1,6,1,0,0
29.0000086226,558,1138,24,37,8,7,1,9,1,0,0
29.5000087713,559,1136,20,38,6,6,1,12,2,0,0
30.0000089201,560,1136,21,40,6,6,0,13,0,0,0
30.5000090688,560,1138,26,43,6,6,0,8,0,0,0
31.0000092176,557,1137,20,36,5,8,1,11,3,0,0
31.5000093663,559,1140,27,44,3,6,1,6,1,0,0
32.0000095151,558,1136,20,40,3,8,0,13,1,0,0
32.5000096638,557,1131,23,44,6,7,2,11,0,0,0
33.0000098126,557,1131,22,43,6,8,1,11,1,0,0
33.5000099614,553,1126,25,46,7,12,1,9,0,0,0
34.0000101101,552,1127,23,42,7,13,1,10,1,0,0
34.5000102589,554,1129,21,36,11,10,2,12,1,0,0
35.0000104076,557,1130,20,38,10,8,1,14,0,0,0
35.5000105564,558,1130,20,38,11,8,0,14,0,0,0
36.0000107051,560,1130,22,41,12,5,1,11,1,0,0
36.5000108539,553,1127,25,42,10,11,2,8,1,0,0
37.0000110026,554,1128,25,42,10,11,1,9,0,0,0
37.5000111514,552,1131,22,37,7,12,2,11,1,0,0
38.0000113001,560,1135,24,42,8,5,1,7,3,0,0
